date,high_c,low_c
2022-11-19,27.6,23.7
2022-11-20,27.5,23.3
2022-11-21,25.3,23.1
2022-11-22,24.1,22.3
2022-11-23,24.8,22.5
2022-11-24,22.6,21.4
2022-11-25,23.4,21.3
2022-11-26,23.6,21.7
2022-11-27,23.7,22.1
2022-11-28,28.6,23.4
2022-11-29,27.8,24.3
2022-11-30,26.1,18.3
2022-12-01,18.4,14.8
2022-12-02,19.4,13.6
2022-12-03,21.5,16.9
2022-12-04,23.3,19.9
2022-12-05,20.7,15.7
2022-12-06,19.8,14.9
2022-12-07,21.5,16.6
2022-12-08,22.6,17.7
2022-12-09,22.7,17.4
2022-12-10,21.6,15.6
2022-12-11,19.0,15.3
2022-12-12,18.0,15.0
2022-12-13,16.7,12.9
2022-12-14,13.1,11.5
2022-12-15,16.2,12.3
2022-12-16,18.2,15.1
2022-12-17,15.1,11.8
2022-12-18,13.8,9.4
2022-12-19,16.6,10.6
2022-12-20,19.2,14.7
2022-12-21,19.8,15.5
2022-12-22,20.3,13.9
2022-12-23,20.2,14.7
2022-12-24,20.1,14.4
2022-12-25,18.5,14.1
2022-12-26,18.8,14.3
2022-12-27,18.8,14.9
2022-12-28,20.6,14.7
2022-12-29,18.9,14.5
2022-12-30,17.3,12.4
2022-12-31,18.7,12.0
2023-01-01,19.3,14.5
2023-01-02,21.6,17.2
2023-01-03,19.2,16.1
2023-01-04,19.9,15.8
2023-01-05,21.4,16.8
2023-01-06,23.4,17.0
2023-01-07,21.3,17.9
2023-01-08,20.0,17.0
2023-01-09,21.4,18.2
2023-01-10,19.0,17.6
2023-01-11,19.1,17.0
2023-01-12,19.6,17.5
2023-01-13,23.9,18.9
2023-01-14,24.7,20.0
2023-01-15,21.6,13.0
2023-01-16,13.2,11.3
2023-01-17,15.2,11.0
2023-01-18,17.1,11.5
2023-01-19,18.7,13.3
2023-01-20,20.9,15.9
2023-01-21,18.8,16.0
2023-01-22,22.4,16.6
2023-01-23,21.1,16.9
2023-01-24,18.7,12.0
2023-01-25,14.4,10.6
2023-01-26,18.6,13.0
2023-01-27,17.3,12.4
2023-01-28,15.7,10.6
2023-01-29,16.0,9.8
2023-01-30,18.8,11.7
2023-01-31,20.1,13.8
2023-02-01,23.7,17.8
2023-02-02,21.2,17.9
2023-02-03,19.9,16.7
2023-02-04,19.1,16.6
2023-02-05,19.3,16.8
2023-02-06,21.1,17.9
2023-02-07,24.8,18.8
2023-02-08,20.1,17.2
2023-02-09,23.5,16.9
2023-02-10,24.2,19.5
2023-02-11,20.2,17.8
2023-02-12,21.1,18.7
2023-02-13,26.1,19.5
2023-02-14,20.7,16.6
2023-02-15,20.3,13.1
2023-02-16,19.9,14.5
2023-02-17,24.0,15.6
2023-02-18,25.1,18.0
2023-02-19,26.6,19.8
2023-02-20,24.1,18.2
2023-02-21,20.5,16.1
2023-02-22,20.4,14.8
2023-02-23,22.9,15.4
2023-02-24,23.4,17.0
2023-02-25,21.0,14.8
2023-02-26,21.2,14.4
2023-02-27,20.1,14.2
2023-02-28,22.3,14.9
2023-03-01,24.4,16.4
2023-03-02,23.2,17.8
2023-03-03,22.4,16.5
2023-03-04,23.8,17.3
2023-03-05,23.5,17.3
2023-03-06,24.1,17.4
2023-03-07,24.1,17.7
2023-03-08,25.7,19.1
2023-03-09,27.0,19.5
2023-03-10,26.6,20.3
2023-03-11,26.0,19.9
2023-03-12,25.6,20.2
2023-03-13,22.4,19.1
2023-03-14,22.9,18.7
2023-03-15,24.5,18.7
2023-03-16,25.8,19.4
2023-03-17,26.1,20.0
2023-03-18,26.8,19.8
2023-03-19,21.9,20.0
2023-03-20,24.4,20.1
2023-03-21,25.4,22.1
2023-03-22,25.6,24.1
2023-03-23,26.3,24.1
2023-03-24,29.0,23.3
2023-03-25,26.4,20.9
2023-03-26,21.6,20.0
2023-03-27,20.0,17.5
2023-03-28,20.1,17.2
2023-03-29,21.8,18.4
2023-03-30,21.4,19.8
2023-03-31,21.1,19.6
2023-04-01,22.4,19.3
2023-04-02,21.6,20.5
2023-04-03,21.5,20.3
2023-04-04,25.9,20.6
2023-04-05,26.3,24.3
2023-04-06,28.4,20.2
2023-04-07,25.9,19.4
2023-04-08,21.8,20.2
2023-04-09,21.7,18.0
2023-04-10,23.3,19.9
2023-04-11,28.1,21.9
2023-04-12,29.2,22.0
2023-04-13,26.3,21.6
2023-04-14,28.9,22.5
2023-04-15,30.6,23.4
2023-04-16,30.8,24.1
2023-04-17,29.2,24.0
2023-04-18,29.9,24.6
2023-04-19,27.7,21.6
2023-04-20,25.1,23.2
2023-04-21,25.3,23.3
2023-04-22,23.9,22.5
2023-04-23,23.7,22.4
2023-04-24,24.3,22.9
2023-04-25,23.7,20.4
2023-04-26,24.8,19.4
2023-04-27,24.7,21.5
2023-04-28,27.6,21.8
2023-04-29,28.1,23.7
2023-04-30,27.8,22.7
2023-05-01,26.1,23.0
2023-05-02,26.9,22.7
2023-05-03,29.1,23.6
2023-05-04,31.0,25.4
2023-05-05,30.2,25.5
2023-05-06,29.7,26.9
2023-05-07,30.3,23.4
2023-05-08,24.8,21.9
2023-05-09,26.5,22.3
2023-05-10,25.3,23.0
2023-05-11,25.8,22.2
2023-05-12,25.7,23.8
2023-05-13,25.3,22.3
2023-05-14,23.1,20.2
2023-05-15,27.1,21.9
2023-05-16,27.3,23.1
2023-05-17,28.9,23.7
2023-05-18,31.4,27.5
2023-05-19,31.3,27.4
2023-05-20,32.7,28.0
2023-05-21,32.2,28.0
2023-05-22,33.0,28.1
2023-05-23,29.2,24.4
2023-05-24,28.2,23.3
2023-05-25,26.9,24.9
2023-05-26,30.9,26.4
2023-05-27,32.3,26.7
2023-05-28,32.5,27.0
2023-05-29,32.3,26.3
2023-05-30,34.6,28.0
2023-05-31,34.7,29.6
2023-06-01,31.6,26.2
2023-06-02,35.2,28.2
2023-06-03,34.9,28.9
2023-06-04,32.7,27.9
2023-06-05,32.9,27.7
2023-06-06,30.2,26.8
2023-06-07,31.5,27.0
2023-06-08,33.1,27.4
2023-06-09,32.0,26.7
2023-06-10,33.0,28.0
2023-06-11,32.5,27.3
2023-06-12,33.7,28.2
2023-06-13,32.7,25.8
2023-06-14,29.6,25.1
2023-06-15,28.7,26.1
2023-06-16,28.1,25.2
2023-06-17,28.0,25.3
2023-06-18,29.9,25.7
2023-06-19,31.4,26.9
2023-06-20,32.2,27.8
2023-06-21,32.2,28.7
2023-06-22,32.4,29.0
2023-06-23,31.2,28.0
2023-06-24,31.0,27.4
2023-06-25,32.9,26.1
2023-06-26,32.9,26.6
2023-06-27,33.9,28.1
2023-06-28,31.3,26.9
2023-06-29,33.3,27.1
2023-06-30,32.5,26.5
2023-07-01,30.9,26.2
2023-07-02,29.3,26.2
2023-07-03,32.4,27.0
2023-07-04,32.0,26.7
2023-07-05,33.0,28.9
2023-07-06,32.8,28.4
2023-07-07,33.4,29.0
2023-07-08,33.2,28.8
2023-07-09,33.7,28.7
2023-07-10,33.7,28.9
2023-07-11,33.6,28.9
2023-07-12,34.5,28.9
2023-07-13,34.8,28.6
2023-07-14,33.8,28.5
2023-07-15,34.5,28.2
2023-07-16,33.3,27.2
2023-07-17,29.4,27.2
2023-07-18,31.1,27.5
